id;date_created;start_date;end_date
1;2020-04-27T19:14:08;2020-04-28T04:56:12;2020-04-27T16:55:57
2;2020-04-28T03:10:19;2020-04-28T08:58:22;2020-04-28T00:08:29
3;2020-04-27T21:31:27;2020-04-28T08:11:44;2020-04-28T08:47:06
4;2020-04-28T04:05:20;2020-04-27T20:44:46;2020-04-28T07:33:10
5;2020-04-27T15:01:06;2020-04-27T22:48:43;2020-04-28T06:14:08
6;2020-04-27T14:36:07;2020-04-28T03:06:26;2020-04-27T22:01:41
7;2020-04-27T09:34:44;2020-04-28T06:37:19;2020-04-28T01:45:41
8;2020-04-28T07:43:29;2020-04-27T18:39:42;2020-04-27T17:41:35
9;2020-04-27T09:31:41;2020-04-27T21:00:45;2020-04-28T00:44:51
10;2020-04-27T12:30:16;2020-04-27T18:43:15;2020-04-28T05:09:23
