id;start_date;end_date;date_created
1;2020-04-27T09:26:20;2020-04-27T20:37:53;2020-04-27T17:06:36
2;2020-04-28T03:55:18;2020-04-27T23:59:51;2020-04-28T02:37:06
3;2020-04-27T21:18:37;2020-04-27T19:58:33;2020-04-27T20:56:42
4;2020-04-27T11:38:55;2020-04-27T09:45:39;2020-04-27T15:54:45
5;2020-04-27T14:48:53;2020-04-28T09:11:24;2020-04-27T11:46:45
6;2020-04-28T05:20:21;2020-04-28T02:54:03;2020-04-27T10:22:43
7;2020-04-27T18:10:00;2020-04-28T01:54:54;2020-04-27T21:43:57
8;2020-04-28T00:29:18;2020-04-27T20:35:30;2020-04-27T16:40:09
9;2020-04-28T08:39:13;2020-04-27T12:34:50;2020-04-28T08:43:29
10;2020-04-27T11:27:09;2020-04-27T21:33:43;2020-04-28T03:25:24
